name,path,languages,project_types,commercial_classes,sell_as,overall_score,completion,market_fit,packaging,exposure,hours_remaining,expected_price,annual_revenue,recurring_revenue,competition,recommendation,missing,summary
create-agents,/Users/steven/.agent-skills/skills/create-agents,Markdown,"AI Agent, Claude Skill, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","Agent Pack, Consulting, Course, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: create claude code agents (autonomous workers with isolated context and restricted tools). use when the user wants to create an agent, autonomous worker, isolated task runner, or custom subagent. not for skills - agents have tool restrictions and run in isolation."
create-skill,/Users/steven/.agent-skills/skills/create-skill,Markdown,"AI Agent, API, Claude Skill, Media Tool, SEO Tool, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: create new claude code skills with best practices. use when the user wants to create, build, or develop a new skill, or when they mention skill.md, skill creation, or custom commands."
baoyu-comic,/Users/steven/.agent-skills/skills/creative/baoyu-comic,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""knowledge comics (知识漫画): educational, biography, tutorial."""
baoyu-infographic,/Users/steven/.agent-skills/skills/creative/baoyu-infographic,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: baoyu-infographic
claude-design,/Users/steven/.agent-skills/skills/creative/claude-design,Markdown,"AI Agent, API, CLI, Claude Skill, Creative Tool, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Course, Creator Subscription, Developer License, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: design one-off html artifacts (landing, deck, prototype)."
touchdesigner-mcp,/Users/steven/.agent-skills/skills/creative/touchdesigner-mcp,Markdown,"AI Agent, API, CLI, Claude Skill, Creative Tool, MCP Server, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Course, Creator Subscription, Developer License, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: touchdesigner-mcp
model-deployment,/Users/steven/.agent-skills/skills/deep-learning/model-deployment,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Media Tool, SEO Tool","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: model-deployment
design-taste-frontend,/Users/steven/.agent-skills/skills/design-taste-frontend,Markdown,"AI Agent, API, CLI, Claude Skill, Creative Tool, Desktop App, MCP Server, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Course, Creator Subscription, Desktop, Developer License, Enterprise, Hosted MCP, License, MCP, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",design-taste-frontend
devtu-optimize-skills,/Users/steven/.agent-skills/skills/devtu-optimize-skills,Markdown,"API, Claude Skill, Dataset, Media Tool, SEO Tool, Template","Business Tool, Creative Tool, Dataset, Media Tool, SEO Tool","API, Consulting, Course, Creator Subscription, Dataset License, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",devtu-optimize-skills
find-skills,/Users/steven/.agent-skills/skills/find-skills,Markdown,"AI Agent, API, Claude Skill, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Developer Tool, SEO Tool","API, Agent Pack, Consulting, Course, Enterprise, License, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: helps users discover and install agent skills when they ask questions like ""how do i do x"", ""find a skill for x"", ""is there a skill that can..."", or express interest in extending capabilities. this skill should be used when the user is looking for functionality that "
github-issues,/Users/steven/.agent-skills/skills/github/github-issues,Markdown,"AI Agent, API, Claude Skill, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""create, triage, label, assign github issues via gh or rest."""
hook-development,/Users/steven/.agent-skills/skills/hook-development,Markdown,"AI Agent, API, Claude Skill, MCP Server, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Developer Tool, SEO Tool","API, Agent Pack, Consulting, Enterprise, Hosted MCP, License, MCP, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: hook-development
obliteratus,/Users/steven/.agent-skills/skills/mlops/inference/obliteratus,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Dataset, Media Tool, SaaS Candidate, Template","AI Tool, Automation, Creative Tool, Dataset, Developer Tool, Media Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Dataset License, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""obliteratus: abliterate llm refusals (diff-in-means)."""
vllm,/Users/steven/.agent-skills/skills/mlops/inference/vllm,Markdown,"API, Claude Skill, Dataset, Media Tool, SaaS Candidate","Creative Tool, Dataset, Media Tool","API, Consulting, Creator Subscription, Dataset License, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: serving-llms-vllm
notebooklm,/Users/steven/.agent-skills/skills/notebooklm,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Dataset, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Dataset, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Dataset License, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: complete api for google notebooklm - full programmatic access including features not in the web ui. create notebooks, add sources, generate all artifact types, download in multiple formats. activates on explicit /notebooklm or intent like ""create a podcast about x"""
plugin-settings,/Users/steven/.agent-skills/skills/plugin-settings,Markdown,"AI Agent, API, Claude Skill, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Developer Tool, SEO Tool","API, Agent Pack, Consulting, Course, Enterprise, License, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: plugin-settings
plugin-structure,/Users/steven/.agent-skills/skills/plugin-structure,Markdown,"AI Agent, API, Claude Skill, MCP Server, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: plugin-structure
airtable,/Users/steven/.agent-skills/skills/productivity/airtable,Markdown,"API, Claude Skill, MCP Server, Media Tool, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Consulting, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: airtable rest api via curl. records crud, filters, upserts."
linear,/Users/steven/.agent-skills/skills/productivity/linear,"Markdown, Python","AI Agent, API, Claude Skill, MCP Server, Media Tool, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""linear: manage issues, projects, teams via graphql + curl."""
godmode,/Users/steven/.agent-skills/skills/red-teaming/godmode,"Markdown, Python","AI Agent, API, CLI, Claude Skill, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Course, Creator Subscription, Developer License, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""jailbreak llms: parseltongue, godmode, ultraplinian."""
arxiv,/Users/steven/.agent-skills/skills/research/arxiv,"Markdown, Python","AI Agent, API, Claude Skill, Media Tool, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""search arxiv papers by keyword, author, category, or id."""
llm-wiki,/Users/steven/.agent-skills/skills/research/llm-wiki,Markdown,"AI Agent, CLI, Claude Skill, Creative Tool, Desktop App, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","Agent Pack, CLI, Consulting, Course, Creator Subscription, Desktop, Developer License, License, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""karpathy's llm wiki: build/query interlinked markdown kb."""
session-export,/Users/steven/.agent-skills/skills/session-export,"Markdown, Python","AI Agent, Claude Skill, Media Tool, SEO Tool","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","Agent Pack, Consulting, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,27.0,1349.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",description: avatararts terminal session exporter - creates durable project handoffs for agent continuation
skill-development,/Users/steven/.agent-skills/skills/skill-development,Markdown,"AI Agent, API, Claude Skill, Creative Tool, MCP Server, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: skill-development
test-driven-development,/Users/steven/.agent-skills/skills/software-development/test-driven-development,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Media Tool, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",test-driven-development
laziness,/Users/steven/.agent-skills/skills/taste-skill/research/laziness,Markdown,"MCP Server, Media Tool, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Consulting, Course, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",llm output truncation research
gpt-tasteskill,/Users/steven/.agent-skills/skills/taste-skill/skills/gpt-tasteskill,Markdown,"CLI, Claude Skill, Creative Tool, Media Tool, SEO Tool, SaaS Candidate","Business Tool, Creative Tool, Media Tool, SEO Tool","CLI, Consulting, Creator Subscription, Developer License, License, Prompt Pack, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: elite ux/ui & advanced gsap motion engineer. enforces python-driven true randomization for layout variance, strict aida page structure, wide editorial typography (bans 6-line wraps), gapless bento grids, strict gsap scrolltriggers (pinning, stacking, scrubbing), inli"
tooluniverse,/Users/steven/.agent-skills/skills/tooluniverse,Markdown,"AI Agent, API, Claude Skill, MCP Server, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Developer Tool, SEO Tool","API, Agent Pack, Consulting, Enterprise, Hosted MCP, License, MCP, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: general strategies for using tooluniverse effectively with 10000+ scientific tools. covers tool discovery, multi-hop queries, comprehensive research workflows, disambiguation, evidence grading, and report generation. use when users need to research any scientific top"
tooluniverse-clinical-trial-design,/Users/steven/.agent-skills/skills/tooluniverse-clinical-trial-design,"Markdown, Python","AI Agent, API, Claude Skill, Creative Tool, Media Tool, SEO Tool, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",tooluniverse-clinical-trial-design
tooluniverse-sequence-retrieval,/Users/steven/.agent-skills/skills/tooluniverse-sequence-retrieval,Markdown,"API, Claude Skill, Media Tool, SEO Tool","Business Tool, Creative Tool, Media Tool, SEO Tool","API, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",tooluniverse-sequence-retrieval
writing-skills,/Users/steven/.agent-skills/skills/writing-skills,"Markdown, Node","AI Agent, API, Claude Skill, Creative Tool, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: use when creating new skills, editing existing skills, or verifying skills work before deployment"
ecosystem-layering,/Users/steven/.agent-skills/skills/autonomous-ai-agents/ecosystem-layering,Markdown,"AI Agent, Claude Skill, MCP Server, Media Tool, SaaS Candidate, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Course, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: ecosystem-layering
innate-workflow,/Users/steven/.agent-skills/skills/innate-workflow,Markdown,"AI Agent, Claude Skill, Creative Tool, MCP Server","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: innate-workflow
managing-ecosystem-cleanup,/Users/steven/.agent-skills/skills/managing-ecosystem-cleanup,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Dataset, MCP Server, Template","AI Tool, Automation, Creative Tool, Dataset, Developer Tool, Media Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Dataset License, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",managing-ecosystem-cleanup
mcp-app-development-principles,/Users/steven/.agent-skills/skills/mcp-app-development-principles,Markdown,"API, Claude Skill, Desktop App, MCP Server","AI Tool, Automation, Developer Tool","API, Consulting, Desktop, Enterprise, Hosted MCP, License, MCP, One-time Purchase, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",mcp-app-development-principles
mcp-integration,/Users/steven/.agent-skills/skills/mcp-integration,Markdown,"AI Agent, API, Claude Skill, MCP Server, SaaS Candidate","AI Tool, Automation, Developer Tool","API, Agent Pack, Consulting, Enterprise, Hosted MCP, License, MCP, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: mcp-integration
native-mcp,/Users/steven/.agent-skills/skills/mcp/native-mcp,Markdown,"AI Agent, API, Claude Skill, MCP Server, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""mcp client: connect servers, register tools (stdio/http)."""
hermes-agent-skill-authoring,/Users/steven/.agent-skills/skills/software-development/hermes-agent-skill-authoring,"Markdown, Python","AI Agent, Claude Skill, Creative Tool, MCP Server, Media Tool, SaaS Candidate, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Course, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",hermes-agent-skill-authoring
spike,/Users/steven/.agent-skills/skills/software-development/spike,Markdown,"AI Agent, Claude Skill, MCP Server, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""throwaway experiments to validate an idea before build."""
stitch-skill,/Users/steven/.agent-skills/skills/taste-skill/skills/stitch-skill,Markdown,"AI Agent, Claude Skill, Creative Tool, Desktop App, MCP Server, Media Tool, SaaS Candidate, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Course, Creator Subscription, Desktop, Enterprise, Hosted MCP, License, MCP, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: stitch-design-taste
using-superpowers,/Users/steven/.agent-skills/skills/using-superpowers,Markdown,"AI Agent, Claude Skill, MCP Server, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",36.9,33.3,47.5,0.0,0.0,21.7,137.0,6847.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: using-superpowers
deep-research,/Users/steven/.agent-skills/deep-research,Markdown,"AI Agent, Claude Skill, Media Tool","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",36.2,33.3,45.0,0.0,0.0,21.7,26.0,1299.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",deep research — ~/.agent-skills/deep-research/
docs,/Users/steven/.agent-skills/docs,Markdown,"AI Agent, Creative Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Creator Subscription, License, Prompt Pack, SaaS",36.2,38.1,45.0,0.0,4.8,20.7,134.0,7083.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",documentation hub — ~/.agent-skills/docs/
agent-development,/Users/steven/.agent-skills/skills/agent-development,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",36.2,33.3,45.0,0.0,0.0,21.7,134.0,6697.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: agent-development
agmsg,/Users/steven/.agent-skills/skills/agmsg,Markdown,"AI Agent, Claude Skill, Creative Tool, Media Tool, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Course, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",36.2,33.3,45.0,0.0,0.0,21.7,26.0,1299.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: cross-agent messaging via sqlite. send messages between claude code, codex, gemini cli, and other agents. no daemon, no network, no dependencies beyond bash and sqlite3."
apple-notes,/Users/steven/.agent-skills/skills/apple/apple-notes,Markdown,"AI Agent, Claude Skill, Creative Tool, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",36.2,33.3,45.0,0.0,0.0,21.7,134.0,6697.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""manage apple notes via memo cli: create, search, edit."""
apple-reminders,/Users/steven/.agent-skills/skills/apple/apple-reminders,Markdown,"AI Agent, Claude Skill, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",36.2,33.3,45.0,0.0,0.0,21.7,134.0,6697.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: apple-reminders
findmy,/Users/steven/.agent-skills/skills/apple/findmy,Markdown,"AI Agent, API, CLI, Claude Skill, Creative Tool, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, CLI, Consulting, Creator Subscription, Developer License, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",36.2,33.3,45.0,0.0,0.0,21.7,134.0,6697.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""track apple devices/airtags via findmy.app on macos."""
imessage,/Users/steven/.agent-skills/skills/apple/imessage,Markdown,"AI Agent, Claude Skill, Creative Tool, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",36.2,33.3,45.0,0.0,0.0,21.7,134.0,6697.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",description: send and receive imessages/sms via the imsg cli on macos.
codex,/Users/steven/.agent-skills/skills/autonomous-ai-agents/codex,Markdown,"AI Agent, API, Claude Skill, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",36.2,33.3,45.0,0.0,0.0,21.7,134.0,6697.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""delegate coding to openai codex cli (features, prs)."""
